id,category,query,notes,accuracy,clarity,safety,groundedness,citation_accuracy,retrieval_relevance
TC01,typical,Can I take Panadol with warfarin?,Brand to ingredient mapping; interaction should be reported with caution and referral.,5,5,5,5,5,5
TC02,typical,Is it safe to use paracetamol while taking metoclopramide?,Known interaction in some sources; system should only answer if evidence exists.,5,4,5,5,5,5
TC03,typical,Can I take ibuprofen together with aspirin?,NSAID-related interaction; otherwise respond uncertain.,5,5,5,5,5,5
TC04,varied,Is Tylenol the same as paracetamol, and can I take them together?,Synonym normalization (acetaminophen/paracetamol).,5,5,5,5,5,5
TC05,varied,Can I use Advil while I’m on warfarin?,Brand normalization + anticoagulant interaction.,5,5,5,5,5,5
TC06,edge_case,Can I take UnknownBrandX with paracetamol?,Unknown product; must explicitly state uncertainty.,4,5,5,5,4,5
TC07,edge_case,Is paracetamol safe to take with a herbal supplement?,Out-of-scope; should advise pharmacist and avoid inventing interactions.,4,4,5,4,4,4
TC08,typical,Can I take metformin and lisinopril together?,If no interaction known should say no significant interaction or uncertain.,5,5,5,4,4,5
TC09,varied,Is it okay to use cholestyramine with paracetamol?,Example interaction mentioned in paracetamol references.,5,5,5,5,4,4
TC10,varied,Can I take lamotrigine while using paracetamol?,Interaction may exist in some sources; should be evidence-based.,5,5,5,4,5,5
TC11,typical,Is it safe to combine paracetamol and isoniazid?,Potential liver risk; emphasize safety.,5,5,5,5,5,5
TC12,varied,Can I take paracetamol with zidovudine?,Include only if evidence exists.,5,5,5,5,5,5
TC13,edge_case,Is paracetamol safe to use with flucloxacillin?,If evidence exists should flag higher caution.,4,4,5,4,4,4
TC14,edge_case,Can I take paracetamol while on oral contraceptives?,Class-like input; should handle uncertainty properly.,4,5,5,5,4,4
TC15,edge_case,Can I use 0.9% sodium chloride irrigation with metronidazole injection?,Complex product names; system should parse safely.,4,4,5,4,4,4
TC17,rag_needed,I take Tylenol and Panadol together for headaches. Is that safe?,Both contain acetaminophen/paracetamol and risk overdose.,5,5,5,5,5,5
TC18,rag_needed,Can I take Augmentin if I’m allergic to amoxicillin?,Augmentin contains amoxicillin plus clavulanic acid so cross allergy risk.,5,5,5,5,5,5
TC19,rag_needed,I’m taking Lipitor and clarithromycin for an infection. Is that okay?,Lipitor contains atorvastatin and clarithromycin increases statin toxicity risk.,5,5,5,5,5,5
TC20,rag_needed,I take Plavix for my heart. Can I also take omeprazole for reflux?,Plavix contains clopidogrel and omeprazole may reduce activation.,5,5,5,5,5,5
TC21,rag_needed,I take Advil for pain and a daily baby aspirin for my heart. Is that combination safe?,Ibuprofen may reduce aspirin antiplatelet effect.,5,5,5,5,5,5
TC22,rag_needed,My doctor prescribed Cipro and I also take warfarin. Should I worry about interactions?,Ciprofloxacin may increase warfarin bleeding risk.,5,5,5,5,5,5
TC23,rag_needed,Is it okay to drink grapefruit juice while taking Zocor?,Simvastatin interaction via CYP3A4 inhibition.,5,5,5,5,5,5
TC24,rag_needed,I take Cozaar for blood pressure and sometimes ibuprofen for back pain. Is that safe?,Losartan and NSAIDs may increase kidney risk and reduce BP control.,5,5,5,5,5,5
TC25,rag_needed,I’m taking codeine cough syrup and also a medicine that contains acetaminophen. Is that okay?,Many codeine syrups contain acetaminophen leading to overdose risk.,5,5,5,5,5,5
